sample_id,dataset,question,gold_answer,model_prediction,scalar_confidence,self_reported_confidence,failure_family,image_path
vsr_dev_000003,VSR,The zebra is behind the horse.,true,false,0.914,1.0,spatial,data/VSR/train2017/000000568005.jpg
vsr_dev_000008,VSR,The motorcycle is ahead of the train.,true,false,1.000,1.0,spatial,data/VSR/train2017/000000052983.jpg
vsr_dev_000009,VSR,The bench is over the dog.,true,false,0.988,1.0,spatial,data/VSR/train2017/000000463593.jpg
vsr_dev_000010,VSR,The train is perpendicular to the motorcycle.,true,false,0.992,1.0,spatial,data/VSR/train2017/000000338407.jpg
vsr_dev_000011,VSR,The laptop is above the dog.,true,false,0.979,1.0,spatial,data/VSR/train2017/000000315577.jpg
vsr_dev_000015,VSR,The chair is opposite to the dog.,true,false,0.999,0.95,spatial,data/VSR/train2017/000000392715.jpg
vsr_dev_000016,VSR,The dog is on the motorcycle.,false,true,0.969,1.0,spatial,data/VSR/train2017/000000054744.jpg
vsr_dev_000018,VSR,The bench is in front of the train.,true,false,0.999,0.95,spatial,data/VSR/train2017/000000473642.jpg
vsr_dev_000021,VSR,The laptop is facing the chair.,true,false,0.904,1.0,spatial,data/VSR/train2017/000000211260.jpg
vsr_dev_000022,VSR,The laptop is beside the train.,false,true,0.966,1.0,spatial,data/VSR/train2017/000000224670.jpg
vsr_dev_000026,VSR,The laptop is on top of the handbag.,true,false,0.999,1.0,spatial,data/VSR/train2017/000000293837.jpg
vsr_dev_000028,VSR,The laptop is in front of the dog.,false,true,0.824,1.0,spatial,data/VSR/train2017/000000069745.jpg
vsr_dev_000030,VSR,The dog is at the left side of the motorcycle.,false,true,0.996,1.0,spatial,data/VSR/train2017/000000253260.jpg
vsr_dev_000031,VSR,The bench is under the dog.,true,false,0.770,1.0,spatial,data/VSR/train2017/000000496606.jpg
vsr_dev_000033,VSR,The dog is under the chair.,true,false,0.923,1.0,spatial,data/VSR/train2017/000000313520.jpg
vsr_dev_000034,VSR,The laptop is on top of the bench.,true,false,0.750,1.0,spatial,data/VSR/train2017/000000558700.jpg
vsr_dev_000035,VSR,The motorcycle is ahead of the train.,true,false,0.979,1.0,spatial,data/VSR/train2017/000000450182.jpg
vsr_dev_000037,VSR,The dog is below the bench.,false,true,0.951,1.0,spatial,data/VSR/train2017/000000280858.jpg
vsr_dev_000043,VSR,The chair is away from the horse.,true,false,0.750,1.0,spatial,data/VSR/train2017/000000574717.jpg
vsr_dev_000046,VSR,The refrigerator is behind the dog.,false,true,0.983,1.0,spatial,data/VSR/train2017/000000114504.jpg
vsr_dev_000047,VSR,The dog is in front of the motorcycle.,false,true,0.983,1.0,spatial,data/VSR/train2017/000000465819.jpg
vsr_dev_000052,VSR,The chair is at the right side of the laptop.,true,false,0.914,1.0,spatial,data/VSR/train2017/000000561658.jpg
vsr_dev_000059,VSR,The bench is touching the laptop.,true,false,0.893,1.0,spatial,data/VSR/train2017/000000257629.jpg
vsr_dev_000060,VSR,The train is perpendicular to the bench.,true,false,0.994,1.0,spatial,data/VSR/train2017/000000570588.jpg
vsr_dev_000068,VSR,The dog is far from the surfboard.,true,false,0.729,1.0,spatial,data/VSR/train2017/000000580248.jpg
vsr_dev_000077,VSR,The chair is under the horse.,true,false,0.999,1.0,spatial,data/VSR/train2017/000000413414.jpg
vsr_dev_000081,VSR,The dog is in front of the motorcycle.,false,true,0.995,1.0,spatial,data/VSR/train2017/000000211449.jpg
vsr_dev_000085,VSR,The bench is surrounding the horse.,true,false,1.000,1.0,spatial,data/VSR/train2017/000000164698.jpg
vsr_dev_000087,VSR,The dog is at the left side of the horse.,true,false,1.000,1.0,spatial,data/VSR/train2017/000000366811.jpg
vsr_dev_000092,VSR,The dog is facing away from the laptop.,true,false,1.000,1.0,spatial,data/VSR/train2017/000000350245.jpg
vsr_dev_000093,VSR,The dog is at the right side of the refrigerator.,true,false,1.000,0.95,spatial,data/VSR/train2017/000000396890.jpg
vsr_dev_000095,VSR,The laptop is on top of the bench.,false,true,0.914,1.0,spatial,data/VSR/train2017/000000054723.jpg
vsr_dev_000096,VSR,The dog is under the chair.,true,false,0.824,1.0,spatial,data/VSR/train2017/000000452300.jpg
