sample_id,dataset_name,model,image_file,question,gold_answer,model_answer,annotator_label,annotator_confidence,short_justification
hallusionbench_00894,HallusionBench,llava_vicuna,hallusionbench_hallusionbench_00894_llava_vicuna.png,Are there any ducks in this figure?,no,yes,,,
hallusionbench_00068,HallusionBench,llava_vicuna,hallusionbench_hallusionbench_00068_llava_vicuna.png,"According to the image, in 2019, did Asian families have the highest real median household income in the United States, with White, Hispanic, and Black households following respectively?",yes,yes,,,
hallusionbench_01031,HallusionBench,qwen_vl,hallusionbench_hallusionbench_01031_qwen_vl.png,"According to the positive sequence of the images, is the blue car moving forward?",no,yes,,,
hallusionbench_00861,HallusionBench,gemma_vl,hallusionbench_hallusionbench_00861_gemma_vl.png,"According to the text given in the image, is this ice-cream a strawberry flavor ice cream?",yes,yes,,,
hallusionbench_00613,HallusionBench,gemma_vl,hallusionbench_hallusionbench_00613_gemma_vl.png,Are two squares in the image different color? Yes or No,no,yes,,,
hallusionbench_00649,HallusionBench,qwen_vl,hallusionbench_hallusionbench_00649_qwen_vl.png,Are two circles in the image different color? Yes or No,no,no,,,
hallusionbench_01045,HallusionBench,llava_vicuna,hallusionbench_hallusionbench_01045_llava_vicuna.png,"According to the positive sequence of the images, Is this monkey removing the wheel? Answer in one word.",no,yes,,,
hallusionbench_00626,HallusionBench,llava_mistral,hallusionbench_hallusionbench_00626_llava_mistral.png,Are two circles in the image different color? yes or no,no,yes,,,
hallusionbench_00704,HallusionBench,llava_mistral,hallusionbench_hallusionbench_00704_llava_mistral.png,"According to the parallel theorem, is angle A larger than angle B? Please answer yes or no.",yes,no,,,
hallusionbench_00456,HallusionBench,qwen_vl,hallusionbench_hallusionbench_00456_qwen_vl.png,"According to the image, does the Kuroshio Current flow through Russia?",yes,no,,,
hallusionbench_00381,HallusionBench,llava_vicuna,hallusionbench_hallusionbench_00381_llava_vicuna.png,"According to the map provided, among Arizona, Oklahoma, North Carolina, and Delaware on the map, is Delaware the farthest north?",no,yes,,,
hallusionbench_01057,HallusionBench,llava_mistral,hallusionbench_hallusionbench_01057_llava_mistral.png,"According to the positive sequence of the images, Is this man throwing a woman into the toilet? Answer in one word.",no,yes,,,
hallusionbench_00981,HallusionBench,qwen_vl,hallusionbench_hallusionbench_00981_qwen_vl.png,"The man opens the door. According to the positive sequence of the images, are they in the correct order?",yes,yes,,,
hallusionbench_00572,HallusionBench,gemma_vl,hallusionbench_hallusionbench_00572_gemma_vl.png,"According to the Torsion dystonia illusion, are the diameters of the three circles the same?",yes,no,,,
hallusionbench_01108,HallusionBench,llava_mistral,hallusionbench_hallusionbench_01108_llava_mistral.png,"They are growing apart. According to the positive sequence of the images, are they in the correct order? Answer in one sentence.",no,yes,,,
hallusionbench_00984,HallusionBench,gemma_vl,hallusionbench_hallusionbench_00984_gemma_vl.png,"According to the positive sequence of the images, does the man close the door?",yes,no,,,
hallusionbench_00523,HallusionBench,llava_vicuna,hallusionbench_hallusionbench_00523_llava_vicuna.png,Is the text in this figure trying to talk to Gorbachev?,yes,yes,,,
hallusionbench_00567,HallusionBench,qwen_vl,hallusionbench_hallusionbench_00567_qwen_vl.png,The image shows the famous Chubb illusion. Are the center areas of two rectangular fields identical?,no,no,,,
hallusionbench_00241,HallusionBench,qwen_vl,hallusionbench_hallusionbench_00241_qwen_vl.png,"According to the table, did Xiaomi have the largest smartphone market share in Q2 2020, followed by Samsung and Huawei?",no,no,,,
hallusionbench_00230,HallusionBench,gemma_vl,hallusionbench_hallusionbench_00230_gemma_vl.png,"According to the table, which country in Europe has the higher GDP in 2021?",yes,no,,,
