sample_id,dataset,question,gold_answer,model_prediction,scalar_confidence,self_reported_confidence,failure_family,image_path
hallusionbench_00005,HallusionBench,"Is Switzerland, the leading importing country of gold, silverware, and jewelry with the highest impo",yes,no,0.868,1.0,attribute,data/HallusionBench/hallusion_bench/VS/chart/0_1.png
hallusionbench_00018,HallusionBench,"From 2001 to 2010, Is 2010 exported the most value of bread, biscuits, wafers, cakes and pastries fr",yes,no,0.868,1.0,attribute,data/HallusionBench/hallusion_bench/VS/chart/1_1.png
hallusionbench_00022,HallusionBench,"From 2010 to 2019, Is 2010 exported the least value of bread, biscuits, wafers, cakes and pastries f",yes,no,0.999,0.95,attribute,data/HallusionBench/hallusion_bench/VS/chart/1_1.png
hallusionbench_00032,HallusionBench,"From 2000-2050, is the population aged between 15 and 29 years in China the most in 2000?",no,yes,0.882,1.0,attribute,data/HallusionBench/hallusion_bench/VS/chart/2_1.png
hallusionbench_00047,HallusionBench,"According to the chart, does China have the second largest population in the world?",yes,no,0.980,1.0,attribute,data/HallusionBench/hallusion_bench/VS/chart/3_1.png
hallusionbench_00050,HallusionBench,"According to the chart, does UK have the largest population in the world, followed by China and USA?",yes,no,1.000,1.0,attribute,data/HallusionBench/hallusion_bench/VS/chart/3_2.png
hallusionbench_00051,HallusionBench,"According to the chart, does China have the second largest population in the world?",yes,no,0.999,1.0,attribute,data/HallusionBench/hallusion_bench/VS/chart/3_2.png
hallusionbench_00057,HallusionBench,"According to the chart, is US the third largest country by land area in the world?",yes,no,1.000,1.0,attribute,data/HallusionBench/hallusion_bench/VS/chart/4_1.png
hallusionbench_00059,HallusionBench,"According to the chart, is Russia the largest country by land area in the world?",yes,no,0.999,1.0,attribute,data/HallusionBench/hallusion_bench/VS/chart/4_1.png
hallusionbench_00061,HallusionBench,"According to the chart, is US the third largest country by land area in the world?",yes,no,0.999,1.0,attribute,data/HallusionBench/hallusion_bench/VS/chart/4_2.png
hallusionbench_00063,HallusionBench,"According to the chart, is Russia the largest country by land area in the world?",yes,no,0.959,1.0,attribute,data/HallusionBench/hallusion_bench/VS/chart/4_2.png
hallusionbench_00068,HallusionBench,"According to the image, in 2019, did Asian families have the highest real median household income in",yes,no,0.977,0.95,attribute,data/HallusionBench/hallusion_bench/VS/chart/5_1.png
hallusionbench_00073,HallusionBench,"According to the image, in 2019, did Black families have the highest real median household income in",yes,no,0.998,0.95,attribute,data/HallusionBench/hallusion_bench/VS/chart/5_2.png
hallusionbench_00074,HallusionBench,"According to the image, in 2019, did Black and White households represent the only racial groups wit",yes,no,0.999,0.95,attribute,data/HallusionBench/hallusion_bench/VS/chart/5_2.png
hallusionbench_00085,HallusionBench,"From 2012 to 2022, did Apple derive the majority of its revenue from Europe?",yes,no,0.998,1.0,attribute,data/HallusionBench/hallusion_bench/VS/chart/6_2.png
hallusionbench_00113,HallusionBench,"In 2020, did the United States have the largest GDP around the world, followed by China, and Japan, ",yes,no,0.999,0.95,attribute,data/HallusionBench/hallusion_bench/VS/chart/9_1.png
hallusionbench_00120,HallusionBench,"In 2020, did India have the largest GDP around the world, followed by China and Japan, according to ",yes,no,1.000,1.0,attribute,data/HallusionBench/hallusion_bench/VS/chart/9_2.png
hallusionbench_00132,HallusionBench,"According to the image, were Asians the largest population group in the United States in 2020, with ",yes,no,0.998,1.0,attribute,data/HallusionBench/hallusion_bench/VS/chart/10_2.png
hallusionbench_00141,HallusionBench,"According to the image, in 2013, was Hong Kong the largest recipient of exports from China in terms ",yes,no,0.999,1.0,attribute,data/HallusionBench/hallusion_bench/VS/chart/12_1.png
hallusionbench_00155,HallusionBench,"According to the image, did the Soviet Union suffer the greatest number of total deaths in World War",yes,no,0.999,1.0,attribute,data/HallusionBench/hallusion_bench/VS/chart/14_1.png
hallusionbench_00159,HallusionBench,"According to the image, did the United States suffer the greatest number of total deaths in World Wa",yes,no,0.998,1.0,attribute,data/HallusionBench/hallusion_bench/VS/chart/14_2.png
hallusionbench_00166,HallusionBench,"According to the image, did the year 2004 witness a higher global death toll due to earthquakes than",no,yes,0.992,1.0,attribute,data/HallusionBench/hallusion_bench/VS/chart/15_2.png
hallusionbench_00177,HallusionBench,"According to the image, was Elon Musk richer than Mark Zuckerberg on March 13th, 2020?",no,yes,0.951,1.0,attribute,data/HallusionBench/hallusion_bench/VS/chart/17_1.png
hallusionbench_00178,HallusionBench,"According to the image, was Elon Musk richer than Mark Zuckerberg, on January 10th, 2021?",yes,no,0.999,1.0,attribute,data/HallusionBench/hallusion_bench/VS/chart/17_1.png
hallusionbench_00190,HallusionBench,"According to the image, during the coronavirus pandemic from 2019 to 2022, were the most bankruptcy ",yes,no,0.980,1.0,attribute,data/HallusionBench/hallusion_bench/VS/chart/19_1.png
hallusionbench_00198,HallusionBench,"According to the image, in 2020, did China have a larger population aged between 90 and 94 years tha",no,yes,0.840,1.0,attribute,data/HallusionBench/hallusion_bench/VS/chart/20_2.png
hallusionbench_00213,HallusionBench,"According to the metal number chart of 2008 beijng olympic, does USA have the most gold metals, foll",yes,no,0.965,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/0_2.png
hallusionbench_00223,HallusionBench,"According to the table, In 2023, did Syria have higher population growth than United Kingdom?",yes,no,1.000,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/1_2.png
hallusionbench_00230,HallusionBench,"According to the table, which country in Europe has the higher GDP in 2021?",yes,no,0.935,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/2_2.png
hallusionbench_00232,HallusionBench,"According to the table, in 2021, did Germany have the highest GDP, followed by France and Italy?",no,yes,0.840,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/2_2.png
hallusionbench_00233,HallusionBench,"According to the table, which country in Europe has the higher GDP in 2021?",yes,no,0.971,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/2_3.png
hallusionbench_00243,HallusionBench,"According to the table, did Samsung sell most units of the smartphone in Q2 2020?",no,yes,0.807,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/3_2.png
hallusionbench_00248,HallusionBench,"According to the table, Which state in the United States has the average maximum temperature in 2021",yes,no,0.982,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/4_1.png
hallusionbench_00254,HallusionBench,"According to the table, Which state in the United States has the average maximum temperature in 2021",yes,no,0.998,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/4_3.png
hallusionbench_00261,HallusionBench,"According to the image, which month has the lowest percentage change in personal income in the Unite",yes,no,0.894,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/5_1.png
hallusionbench_00262,HallusionBench,"According to the image, which month has the highest percentage change in personal income in the Unit",yes,no,0.898,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/5_1.png
hallusionbench_00265,HallusionBench,"According to the image, which month has the lowest percentage change in personal income in the Unite",yes,no,0.830,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/5_2.png
hallusionbench_00266,HallusionBench,"According to the image, which month has the highest percentage change in personal income in the Unit",yes,no,0.725,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/5_2.png
hallusionbench_00278,HallusionBench,"According to the table, does Beijing have the second most dense population in China in 2020?",yes,no,0.999,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/6_1.png
hallusionbench_00284,HallusionBench,"According to the table, does Zhejiang have the second most dense population in China in 2020?",yes,no,0.994,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/6_2.png
hallusionbench_00287,HallusionBench,"According to the table, does Shandong have the most dense population in China in 2020?",yes,no,0.707,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/6_3.png
hallusionbench_00288,HallusionBench,"According to the table, does Zhejiang have the second most dense population in China in 2020?",yes,no,0.996,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/6_3.png
hallusionbench_00348,HallusionBench,"According to the table, does the UB Group have the second highest portion of the market share for be",yes,no,1.000,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/9_2.png
hallusionbench_00358,HallusionBench,"According to this table, does US have the highest carbon dioxide emissions worldwide in 2010?",yes,no,0.999,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/10_2.png
hallusionbench_00359,HallusionBench,"According to this table, does Russia have the second highest carbon dioxide emissions worldwide in 2",yes,no,1.000,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/10_2.png
hallusionbench_00366,HallusionBench,"According to the map provided, is Texas state larger than California state?",yes,no,0.999,1.0,attribute,data/HallusionBench/hallusion_bench/VS/map/0_1.png
hallusionbench_00369,HallusionBench,"According to the map provided, is New Mexico state larger than Texas state?",yes,no,1.000,1.0,attribute,data/HallusionBench/hallusion_bench/VS/map/0_2.png
hallusionbench_00371,HallusionBench,"According to the map provided, is New Mexico state larger than California state?",yes,no,1.000,1.0,attribute,data/HallusionBench/hallusion_bench/VS/map/0_2.png
hallusionbench_00382,HallusionBench,"According to the map provided, among Arizona, Oklahoma, North Carolina, and Delaware on the map, is ",yes,no,1.000,1.0,attribute,data/HallusionBench/hallusion_bench/VS/map/1_2.png
hallusionbench_00387,HallusionBench,"According to the map, does the prime meridian intersect the Atlantic Ocean, Southern Ocean, and Arct",yes,no,0.728,1.0,attribute,data/HallusionBench/hallusion_bench/VS/map/2_1.png
hallusionbench_00390,HallusionBench,"According to the map, does the prime meridian intersect the Pacific Ocean, Southern Ocean, and Arcti",yes,no,0.991,1.0,attribute,data/HallusionBench/hallusion_bench/VS/map/2_2.png
hallusionbench_00395,HallusionBench,"Based on the map, did the Democratic Party win Texas in the 2020 elections?",yes,no,1.000,1.0,attribute,data/HallusionBench/hallusion_bench/VS/map/3_2.png
hallusionbench_00396,HallusionBench,"Based on the map, did the Republic Party win Texas in the 2020 elections?",no,yes,0.996,1.0,attribute,data/HallusionBench/hallusion_bench/VS/map/3_2.png
hallusionbench_00405,HallusionBench,"Based on the map, are the Rocky Mountains located in North America?",no,yes,0.998,1.0,attribute,data/HallusionBench/hallusion_bench/VS/map/4_2.png
hallusionbench_00406,HallusionBench,"Based on the map, are the Rocky Mountains located in Asia?",yes,no,1.000,1.0,attribute,data/HallusionBench/hallusion_bench/VS/map/4_2.png
