sample_id,dataset,question,gold_answer,model_prediction,scalar_confidence,self_reported_confidence,failure_family,image_path
hallusionbench_00018,HallusionBench,"From 2001 to 2010, Is 2010 exported the most value of bread, biscuits, wafers, cakes and pastries fr",yes,no,0.999,0.95,attribute,data/HallusionBench/hallusion_bench/VS/chart/1_1.png
hallusionbench_00022,HallusionBench,"From 2010 to 2019, Is 2010 exported the least value of bread, biscuits, wafers, cakes and pastries f",yes,no,0.999,0.95,attribute,data/HallusionBench/hallusion_bench/VS/chart/1_1.png
hallusionbench_00044,HallusionBench,"According to the chart, does China have the largest population in the world, followed by India and t",no,yes,0.976,0.95,attribute,data/HallusionBench/hallusion_bench/VS/chart/3_1.png
hallusionbench_00047,HallusionBench,"According to the chart, does China have the second largest population in the world?",yes,no,0.985,0.95,attribute,data/HallusionBench/hallusion_bench/VS/chart/3_1.png
hallusionbench_00050,HallusionBench,"According to the chart, does UK have the largest population in the world, followed by China and USA?",yes,no,1.000,0.95,attribute,data/HallusionBench/hallusion_bench/VS/chart/3_2.png
hallusionbench_00051,HallusionBench,"According to the chart, does China have the second largest population in the world?",yes,no,0.938,0.95,attribute,data/HallusionBench/hallusion_bench/VS/chart/3_2.png
hallusionbench_00057,HallusionBench,"According to the chart, is US the third largest country by land area in the world?",yes,no,0.993,1.0,attribute,data/HallusionBench/hallusion_bench/VS/chart/4_1.png
hallusionbench_00061,HallusionBench,"According to the chart, is US the third largest country by land area in the world?",yes,no,0.985,1.0,attribute,data/HallusionBench/hallusion_bench/VS/chart/4_2.png
hallusionbench_00073,HallusionBench,"According to the image, in 2019, did Black families have the highest real median household income in",yes,no,0.824,0.95,attribute,data/HallusionBench/hallusion_bench/VS/chart/5_2.png
hallusionbench_00084,HallusionBench,"From 2012 to 2022, did Apple derive the majority of its revenue from the Americas?",no,yes,1.000,0.95,attribute,data/HallusionBench/hallusion_bench/VS/chart/6_2.png
hallusionbench_00085,HallusionBench,"From 2012 to 2022, did Apple derive the majority of its revenue from Europe?",yes,no,1.000,0.95,attribute,data/HallusionBench/hallusion_bench/VS/chart/6_2.png
hallusionbench_00086,HallusionBench,"From 2012 to 2022, did Apple derive the majority of its revenue from Greater China?",no,yes,0.996,0.95,attribute,data/HallusionBench/hallusion_bench/VS/chart/6_2.png
hallusionbench_00117,HallusionBench,"In 2020, did the United States have the largest GDP around the world, followed by China, and Japan, ",no,yes,0.750,0.95,attribute,data/HallusionBench/hallusion_bench/VS/chart/9_2.png
hallusionbench_00120,HallusionBench,"In 2020, did India have the largest GDP around the world, followed by China and Japan, according to ",yes,no,0.998,0.95,attribute,data/HallusionBench/hallusion_bench/VS/chart/9_2.png
hallusionbench_00132,HallusionBench,"According to the image, were Asians the largest population group in the United States in 2020, with ",yes,no,0.981,0.95,attribute,data/HallusionBench/hallusion_bench/VS/chart/10_2.png
hallusionbench_00136,HallusionBench,"According to the image, did China's exports to the United States experience a decrease from 2016 to ",no,yes,0.904,0.95,attribute,data/HallusionBench/hallusion_bench/VS/chart/11_1.png
hallusionbench_00140,HallusionBench,"According to the image, in 2013, was the United States the largest recipient of exports from China i",no,yes,0.855,0.95,attribute,data/HallusionBench/hallusion_bench/VS/chart/12_1.png
hallusionbench_00141,HallusionBench,"According to the image, in 2013, was Hong Kong the largest recipient of exports from China in terms ",yes,no,0.993,0.95,attribute,data/HallusionBench/hallusion_bench/VS/chart/12_1.png
hallusionbench_00159,HallusionBench,"According to the image, did the United States suffer the greatest number of total deaths in World Wa",yes,no,0.707,0.95,attribute,data/HallusionBench/hallusion_bench/VS/chart/14_2.png
hallusionbench_00181,HallusionBench,"According to the image, was Elon Musk richer than Mark Zuckerberg, on January 10th, 2021?",no,yes,0.976,1.0,attribute,data/HallusionBench/hallusion_bench/VS/chart/17_2.png
hallusionbench_00192,HallusionBench,"According to the image, during the coronavirus pandemic from 2019 to 2022, were the most bankruptcy ",no,yes,0.923,0.95,attribute,data/HallusionBench/hallusion_bench/VS/chart/19_2.png
hallusionbench_00199,HallusionBench,"According to the image, in 2020, did China have a larger population aged between 50 and 54 years tha",yes,no,0.923,0.95,attribute,data/HallusionBench/hallusion_bench/VS/chart/20_2.png
hallusionbench_00212,HallusionBench,"According to the metal number chart of 2008 beijng olympic, does China have the most gold metals, fo",no,yes,0.904,0.95,attribute,data/HallusionBench/hallusion_bench/VS/table/0_2.png
hallusionbench_00248,HallusionBench,"According to the table, Which state in the United States has the average maximum temperature in 2021",yes,no,0.985,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/4_1.png
hallusionbench_00252,HallusionBench,"According to the table, did Florida have the highest average maximum temperature ?",no,yes,0.988,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/4_2.png
hallusionbench_00253,HallusionBench,"According to the table, did Florida have a higher average maximum temperature than Louisana?",no,yes,0.789,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/4_2.png
hallusionbench_00254,HallusionBench,"According to the table, Which state in the United States has the average maximum temperature in 2021",yes,no,0.997,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/4_3.png
hallusionbench_00266,HallusionBench,"According to the image, which month has the highest percentage change in personal income in the Unit",yes,no,0.707,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/5_2.png
hallusionbench_00278,HallusionBench,"According to the table, does Beijing have the second most dense population in China in 2020?",yes,no,0.961,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/6_1.png
hallusionbench_00284,HallusionBench,"According to the table, does Zhejiang have the second most dense population in China in 2020?",yes,no,0.976,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/6_2.png
hallusionbench_00288,HallusionBench,"According to the table, does Zhejiang have the second most dense population in China in 2020?",yes,no,0.961,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/6_3.png
hallusionbench_00348,HallusionBench,"According to the table, does the UB Group have the second highest portion of the market share for be",yes,no,1.000,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/9_2.png
hallusionbench_00358,HallusionBench,"According to this table, does US have the highest carbon dioxide emissions worldwide in 2010?",yes,no,0.923,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/10_2.png
hallusionbench_00359,HallusionBench,"According to this table, does Russia have the second highest carbon dioxide emissions worldwide in 2",yes,no,1.000,1.0,attribute,data/HallusionBench/hallusion_bench/VS/table/10_2.png
hallusionbench_00369,HallusionBench,"According to the map provided, is New Mexico state larger than Texas state?",yes,no,1.000,0.95,attribute,data/HallusionBench/hallusion_bench/VS/map/0_2.png
hallusionbench_00370,HallusionBench,"According to the map provided, is Texas state larger than California state?",no,yes,0.976,0.95,attribute,data/HallusionBench/hallusion_bench/VS/map/0_2.png
hallusionbench_00371,HallusionBench,"According to the map provided, is New Mexico state larger than California state?",yes,no,0.985,0.95,attribute,data/HallusionBench/hallusion_bench/VS/map/0_2.png
hallusionbench_00372,HallusionBench,"According to the map provided, is Montana state larger than New Mexico state?",no,yes,0.985,0.95,attribute,data/HallusionBench/hallusion_bench/VS/map/0_2.png
hallusionbench_00382,HallusionBench,"According to the map provided, among Arizona, Oklahoma, North Carolina, and Delaware on the map, is ",yes,no,0.988,0.95,attribute,data/HallusionBench/hallusion_bench/VS/map/1_2.png
hallusionbench_00388,HallusionBench,"According to the map, does the prime meridian intersect the Pacific Ocean, Southern Ocean, and Arcti",no,yes,0.969,0.95,attribute,data/HallusionBench/hallusion_bench/VS/map/2_1.png
hallusionbench_00389,HallusionBench,"According to the map, does the prime meridian intersect the Atlantic Ocean, Southern Ocean, and Arct",no,yes,1.000,0.95,attribute,data/HallusionBench/hallusion_bench/VS/map/2_2.png
hallusionbench_00395,HallusionBench,"Based on the map, did the Democratic Party win Texas in the 2020 elections?",yes,no,1.000,0.95,attribute,data/HallusionBench/hallusion_bench/VS/map/3_2.png
hallusionbench_00407,HallusionBench,"Based on the map, are the Himalayas Mountains located in North America?",yes,no,1.000,0.95,attribute,data/HallusionBench/hallusion_bench/VS/map/4_2.png
hallusionbench_00408,HallusionBench,"Based on the map, are the Himalayas Mountains located in Asia?",no,yes,1.000,0.95,attribute,data/HallusionBench/hallusion_bench/VS/map/4_2.png
hallusionbench_00413,HallusionBench,"According to the image, is Michigan the only U.S. state that shares a border with Lake Huron?",yes,no,0.994,0.95,attribute,data/HallusionBench/hallusion_bench/VS/map/5_1.png
hallusionbench_00416,HallusionBench,"According to the image, is New York the only U.S. state that shares a border with Lake Ontario?",yes,no,0.991,0.95,attribute,data/HallusionBench/hallusion_bench/VS/map/5_1.png
hallusionbench_00418,HallusionBench,"According to the image, is Michigan the only U.S. state that shares a border with Lake Ontario?",yes,no,1.000,0.95,attribute,data/HallusionBench/hallusion_bench/VS/map/5_2.png
hallusionbench_00419,HallusionBench,"According to the image, is New York the only U.S. state that shares a border with Lake Huron?",yes,no,0.998,0.95,attribute,data/HallusionBench/hallusion_bench/VS/map/5_2.png
hallusionbench_00433,HallusionBench,"According to the image, is Miami the southernmost point of Florida?",no,yes,0.997,0.95,attribute,data/HallusionBench/hallusion_bench/VS/map/7_1.png
hallusionbench_00434,HallusionBench,"According to the image, is Key West the southernmost point of Florida?",no,yes,1.000,0.95,attribute,data/HallusionBench/hallusion_bench/VS/map/7_2.png
hallusionbench_00455,HallusionBench,"According to the image, does the Oyashio Current flow from the south to the north, while the Kuroshi",yes,no,0.999,0.95,attribute,data/HallusionBench/hallusion_bench/VS/map/10_2.png
hallusionbench_00456,HallusionBench,"According to the image, does the Kuroshio Current flow through Russia?",yes,no,1.000,0.95,attribute,data/HallusionBench/hallusion_bench/VS/map/10_2.png
hallusionbench_00459,HallusionBench,"According to the image, does π(pi) range from 3.1415926 to 3.1415927?",yes,no,0.981,0.95,attribute,data/HallusionBench/hallusion_bench/VS/ocr/0_1.png
hallusionbench_00462,HallusionBench,"According to the image, does π(pi) range from 3.1615926 to 3.1615927?",yes,no,0.996,0.95,attribute,data/HallusionBench/hallusion_bench/VS/ocr/0_2.png
hallusionbench_00479,HallusionBench,"According to the image, does the value of the square root of 2 range from 1.41 to 1.42?",yes,no,0.993,0.95,attribute,data/HallusionBench/hallusion_bench/VS/ocr/3_1.png
hallusionbench_00483,HallusionBench,"According to the image, does the value of the square root of 2 range from 1.42 to 1.43?",yes,no,0.938,0.95,attribute,data/HallusionBench/hallusion_bench/VS/ocr/3_2.png
hallusionbench_00487,HallusionBench,"According to the image, is the formula F=G * m_1 * m_2 / r^2 representative of the Gravity equation?",yes,no,0.989,0.95,attribute,data/HallusionBench/hallusion_bench/VS/ocr/4_1.png
hallusionbench_00495,HallusionBench,Is the formula e^ix = cos x + i x representative of the equation in this figure?,yes,no,1.000,0.95,attribute,data/HallusionBench/hallusion_bench/VS/ocr/5_2.png
hallusionbench_00501,HallusionBench,"According to the image, does the value of Gravity constant 'G' range from 6.68 * 10^-11 to 6.70 * 10",yes,no,1.000,0.95,attribute,data/HallusionBench/hallusion_bench/VS/ocr/6_2.png
hallusionbench_00518,HallusionBench,Is the text in this figure made by Abraham Lincoln?,no,yes,1.000,0.99,attribute,data/HallusionBench/hallusion_bench/VS/ocr/9_2.png
hallusionbench_00519,HallusionBench,Is the text in this figure made at Gettysburg?,no,yes,0.996,0.95,attribute,data/HallusionBench/hallusion_bench/VS/ocr/9_2.png
hallusionbench_00524,HallusionBench,Is the text in this figure made by Ronald Reagan?,no,yes,0.999,0.95,attribute,data/HallusionBench/hallusion_bench/VS/ocr/10_2.png
