sample_id,dataset,question,gold_answer,model_prediction,scalar_confidence,self_reported_confidence,failure_family,image_path
vizwiz_val_000002,VizWiz,What is the title of this book?,dog years,unanswerable,0.899,0.75,none,data/VizWiz/Images/val/VizWiz_val_00000002.jpg
vizwiz_val_000003,VizWiz,Which one is the blue one?,right,blue one,0.813,1.0,none,data/VizWiz/Images/val/VizWiz_val_00000003.jpg
vizwiz_val_000005,VizWiz,What the screen says? Thank you.,windows 7,windows home premium,0.906,0.9,none,data/VizWiz/Images/val/VizWiz_val_00000005.jpg
vizwiz_val_000009,VizWiz,Can you describe for me what's going on outside the window? Just curious.,nothing,"buildings, trees",0.720,0.85,none,data/VizWiz/Images/val/VizWiz_val_00000009.jpg
vizwiz_val_000010,VizWiz,What about the signery.,unanswerable,istikrar sursun,0.773,0.95,answerability,data/VizWiz/Images/val/VizWiz_val_00000010.jpg
vizwiz_val_000016,VizWiz,What is this?,finger,unanswerable,0.996,0.1,none,data/VizWiz/Images/val/VizWiz_val_00000016.jpg
vizwiz_val_000018,VizWiz,What is the computer doing?,loading,booting up,0.974,0.9,none,data/VizWiz/Images/val/VizWiz_val_00000018.jpg
vizwiz_val_000020,VizWiz,What does this sign say?,unanswerable,mexican express,0.888,0.85,answerability,data/VizWiz/Images/val/VizWiz_val_00000020.jpg
vizwiz_val_000021,VizWiz,What is this color and pattern? There's some sort of pattern on my left chest there. Describe.,plain white uspa logo in gold,unanswerable,0.809,0.85,none,data/VizWiz/Images/val/VizWiz_val_00000021.jpg
vizwiz_val_000022,VizWiz,Can you tell what this is?,dropper bottle,essential oil,0.936,0.9,none,data/VizWiz/Images/val/VizWiz_val_00000022.jpg
vizwiz_val_000024,VizWiz,"Sometimes it does this too.  It's great when it works, but when it doesn't, it's annoying.",doing disk check,unanswerable,0.985,0.9,none,data/VizWiz/Images/val/VizWiz_val_00000024.jpg
vizwiz_val_000025,VizWiz,I was wondering how ominous the sky is looking here at the northwest.,fairly but could be worse,ominous,0.926,0.9,none,data/VizWiz/Images/val/VizWiz_val_00000025.jpg
vizwiz_val_000031,VizWiz,Can anyone tell me what's actually on the screen of the laptop?,recovery screen some kind,samsung recovery,0.990,0.95,none,data/VizWiz/Images/val/VizWiz_val_00000031.jpg
vizwiz_val_000032,VizWiz,Can you tell me what this is a picture of?,computer screen,software interface,0.866,0.85,none,data/VizWiz/Images/val/VizWiz_val_00000032.jpg
vizwiz_val_000034,VizWiz,How big do you think my TV is? Thank you.,32 inches,unanswerable,0.891,0.1,none,data/VizWiz/Images/val/VizWiz_val_00000034.jpg
vizwiz_val_000036,VizWiz,What is the title of this book?,dog years,unanswerable,0.944,0.65,none,data/VizWiz/Images/val/VizWiz_val_00000036.jpg
vizwiz_val_000037,VizWiz,"Hi, I just wanted to confirm that these are indeed pork chops. Any other information that is clear w",yes,pork chops,0.947,0.95,none,data/VizWiz/Images/val/VizWiz_val_00000037.jpg
vizwiz_val_000044,VizWiz,Able on my vacuum I need the serial number and model number.,unanswerable,model: 950010,0.792,0.85,answerability,data/VizWiz/Images/val/VizWiz_val_00000044.jpg
vizwiz_val_000045,VizWiz,What is the expiration date on this bus pass?,jul 08 11,1-08-11,0.981,0.75,none,data/VizWiz/Images/val/VizWiz_val_00000045.jpg
vizwiz_val_000047,VizWiz,what is this we taking a picture of?,boobs,clothing,0.707,0.95,none,data/VizWiz/Images/val/VizWiz_val_00000047.jpg
vizwiz_val_000049,VizWiz,What kind of pop is this?,nestea,unanswerable,0.999,0.1,none,data/VizWiz/Images/val/VizWiz_val_00000049.jpg
vizwiz_val_000050,VizWiz,Screen showing.,unanswerable,music app,0.636,0.9,answerability,data/VizWiz/Images/val/VizWiz_val_00000050.jpg
vizwiz_val_000053,VizWiz,"Hello there, are you able to see what's on this LCD screen and if it's expecting any input from the ",yes,unanswerable,0.822,0.3,none,data/VizWiz/Images/val/VizWiz_val_00000053.jpg
vizwiz_val_000054,VizWiz,What's the name of the drink?,irn bru,irnbru,0.793,0.95,none,data/VizWiz/Images/val/VizWiz_val_00000054.jpg
vizwiz_val_000055,VizWiz,Where do you think I could get a power cord?,forest hill maryland,hardware store,0.743,0.9,none,data/VizWiz/Images/val/VizWiz_val_00000055.jpg
vizwiz_val_000059,VizWiz,What does the label say on this electronic component?,unanswerable,seagate,0.979,0.9,answerability,data/VizWiz/Images/val/VizWiz_val_00000059.jpg
vizwiz_val_000060,VizWiz,Please tell me the them of this book,clive cussler dirk cussler,action/thriller,0.608,0.85,none,data/VizWiz/Images/val/VizWiz_val_00000060.jpg
vizwiz_val_000061,VizWiz,What is this?,computer screen,unanswerable,0.825,0.85,none,data/VizWiz/Images/val/VizWiz_val_00000061.jpg
vizwiz_val_000064,VizWiz,What is the person doing?,looking at computer,working on computer,0.857,0.7,none,data/VizWiz/Images/val/VizWiz_val_00000064.jpg
vizwiz_val_000065,VizWiz,Could you please tell me what's on my screen?,unanswerable,loading screen,0.752,0.95,answerability,data/VizWiz/Images/val/VizWiz_val_00000065.jpg
vizwiz_val_000071,VizWiz,What is this item,unanswerable,medical device,0.617,0.9,answerability,data/VizWiz/Images/val/VizWiz_val_00000071.jpg
vizwiz_val_000072,VizWiz,what does the sky look like in this photograph,clear,blue with clouds,0.929,1.0,none,data/VizWiz/Images/val/VizWiz_val_00000072.jpg
vizwiz_val_000077,VizWiz,What's on my computer screen?,pop up window,unanswerable,0.730,0.85,none,data/VizWiz/Images/val/VizWiz_val_00000077.jpg
vizwiz_val_000078,VizWiz,"Can see what's on the screen, like is it a log in screen or anything like that? Thank you.",no,password reset,0.799,1.0,none,data/VizWiz/Images/val/VizWiz_val_00000078.jpg
vizwiz_val_000083,VizWiz,Which one of the three images is the Google logo?,unanswerable,google,0.800,1.0,answerability,data/VizWiz/Images/val/VizWiz_val_00000083.jpg
vizwiz_val_000085,VizWiz,please explain what is on this piece of paper,stress advertisement,health tips,0.694,0.9,none,data/VizWiz/Images/val/VizWiz_val_00000085.jpg
vizwiz_val_000091,VizWiz,What does the small label on this disc say?,prop quartics inc,proop of quartics inc,0.915,0.85,none,data/VizWiz/Images/val/VizWiz_val_00000091.jpg
vizwiz_val_000093,VizWiz,"Is this picture clear, and where are we now?",no,"clear, computer screen",0.860,0.95,none,data/VizWiz/Images/val/VizWiz_val_00000093.jpg
vizwiz_val_000094,VizWiz,Can you please tell me what the computer screen says within in the VMware workstation window?  Parti,unanswerable,windows,0.959,0.9,answerability,data/VizWiz/Images/val/VizWiz_val_00000094.jpg
vizwiz_val_000095,VizWiz,Can you see what's on the screen?,no,unanswerable,0.845,0.3,none,data/VizWiz/Images/val/VizWiz_val_00000095.jpg
vizwiz_val_000096,VizWiz,Is this caffeinated or decaffeinated?,caffeinated,unanswerable,0.999,0.0,none,data/VizWiz/Images/val/VizWiz_val_00000096.jpg
vizwiz_val_000099,VizWiz,"Alright. If you could tell what the screen says, that would be helpful, thank you",iniciar el escaneo de,iniciar escaneo,0.922,0.95,none,data/VizWiz/Images/val/VizWiz_val_00000099.jpg
vizwiz_val_000100,VizWiz,Can you see the dosage information? Thank you.,no,unanswerable,0.999,0.1,none,data/VizWiz/Images/val/VizWiz_val_00000100.jpg
