sample_id,dataset,question,gold_answer,model_prediction,scalar_confidence,self_reported_confidence,failure_family,image_path
vizwiz_val_000002,VizWiz,What is the title of this book?,dog years,unanswerable,0.751,1.0,none,data/VizWiz/Images/val/VizWiz_val_00000002.jpg
vizwiz_val_000004,VizWiz,What does the arrow say?,unanswerable,ok,0.779,0.9,answerability,data/VizWiz/Images/val/VizWiz_val_00000004.jpg
vizwiz_val_000005,VizWiz,What the screen says? Thank you.,windows 7,unanswerable,0.772,1.0,none,data/VizWiz/Images/val/VizWiz_val_00000005.jpg
vizwiz_val_000008,VizWiz,Is this shampoo or conditioner?,unanswerable,shampoo,0.899,1.0,answerability,data/VizWiz/Images/val/VizWiz_val_00000008.jpg
vizwiz_val_000009,VizWiz,Can you describe for me what's going on outside the window? Just curious.,nothing,unanswerable,0.743,1.0,none,data/VizWiz/Images/val/VizWiz_val_00000009.jpg
vizwiz_val_000015,VizWiz,"Which one of these items is the children's dictionary? Is it the one on the right, or the one on the",left,yes,0.710,0.9,none,data/VizWiz/Images/val/VizWiz_val_00000015.jpg
vizwiz_val_000018,VizWiz,What is the computer doing?,loading,unanswerable,0.651,0.9,none,data/VizWiz/Images/val/VizWiz_val_00000018.jpg
vizwiz_val_000021,VizWiz,What is this color and pattern? There's some sort of pattern on my left chest there. Describe.,plain white uspa logo in gold,unanswerable,0.664,1.0,none,data/VizWiz/Images/val/VizWiz_val_00000021.jpg
vizwiz_val_000023,VizWiz,Can you tell me what the error message is on the Windows screen?,starting windows,unanswerable,0.821,1.0,none,data/VizWiz/Images/val/VizWiz_val_00000023.jpg
vizwiz_val_000024,VizWiz,"Sometimes it does this too.  It's great when it works, but when it doesn't, it's annoying.",doing disk check,unanswerable,0.847,1.0,none,data/VizWiz/Images/val/VizWiz_val_00000024.jpg
vizwiz_val_000025,VizWiz,I was wondering how ominous the sky is looking here at the northwest.,fairly but could be worse,ominous,0.837,0.9,none,data/VizWiz/Images/val/VizWiz_val_00000025.jpg
vizwiz_val_000026,VizWiz,Can you tell me what these are please?,tablets,unanswerable,0.573,1.0,none,data/VizWiz/Images/val/VizWiz_val_00000026.jpg
vizwiz_val_000029,VizWiz,What does it say?,quit,unanswerable,0.838,1.0,none,data/VizWiz/Images/val/VizWiz_val_00000029.jpg
vizwiz_val_000031,VizWiz,Can anyone tell me what's actually on the screen of the laptop?,recovery screen some kind,unanswerable,0.652,1.0,none,data/VizWiz/Images/val/VizWiz_val_00000031.jpg
vizwiz_val_000033,VizWiz,Can you read the bottle on the screen?,unanswerable,no,0.811,0.0,answerability,data/VizWiz/Images/val/VizWiz_val_00000033.jpg
vizwiz_val_000034,VizWiz,How big do you think my TV is? Thank you.,32 inches,40 inch,0.643,0.9,none,data/VizWiz/Images/val/VizWiz_val_00000034.jpg
vizwiz_val_000036,VizWiz,What is the title of this book?,dog years,unanswerable,0.743,1.0,none,data/VizWiz/Images/val/VizWiz_val_00000036.jpg
vizwiz_val_000045,VizWiz,What is the expiration date on this bus pass?,jul 08 11,08 08,0.511,0.9,none,data/VizWiz/Images/val/VizWiz_val_00000045.jpg
vizwiz_val_000049,VizWiz,What kind of pop is this?,nestea,orange,0.613,1.0,none,data/VizWiz/Images/val/VizWiz_val_00000049.jpg
vizwiz_val_000052,VizWiz,Can you tell me if there is a model on here please? Thank you.,unanswerable,no,0.643,0.0,answerability,data/VizWiz/Images/val/VizWiz_val_00000052.jpg
vizwiz_val_000053,VizWiz,"Hello there, are you able to see what's on this LCD screen and if it's expecting any input from the ",yes,unanswerable,0.764,1.0,none,data/VizWiz/Images/val/VizWiz_val_00000053.jpg
vizwiz_val_000055,VizWiz,Where do you think I could get a power cord?,forest hill maryland,store,0.507,0.9,none,data/VizWiz/Images/val/VizWiz_val_00000055.jpg
vizwiz_val_000060,VizWiz,Please tell me the them of this book,clive cussler dirk cussler,priority,0.664,0.9,none,data/VizWiz/Images/val/VizWiz_val_00000060.jpg
