sample_id,dataset,question,gold_answer,model_prediction,scalar_confidence,self_reported_confidence,failure_family,image_path
vsr_dev_000004,VSR,The chair is under the dog.,false,true,0.840,,spatial,data/VSR/train2017/000000506296.jpg
vsr_dev_000006,VSR,The chair is above the dog.,false,true,0.789,,spatial,data/VSR/train2017/000000431440.jpg
vsr_dev_000007,VSR,The zebra is left of the horse.,false,true,0.849,,spatial,data/VSR/train2017/000000568005.jpg
vsr_dev_000012,VSR,The motorcycle is behind the dog.,false,true,0.850,,spatial,data/VSR/train2017/000000476468.jpg
vsr_dev_000014,VSR,The refrigerator is at the left side of the dog.,false,true,0.846,,spatial,data/VSR/train2017/000000114504.jpg
vsr_dev_000016,VSR,The dog is on the motorcycle.,false,true,0.881,,spatial,data/VSR/train2017/000000054744.jpg
vsr_dev_000019,VSR,The laptop is on the bench.,false,true,0.945,,spatial,data/VSR/train2017/000000147375.jpg
vsr_dev_000022,VSR,The laptop is beside the train.,false,true,0.907,,spatial,data/VSR/train2017/000000224670.jpg
vsr_dev_000025,VSR,The dog is in front of the chair.,false,true,0.905,,spatial,data/VSR/train2017/000000458092.jpg
vsr_dev_000028,VSR,The laptop is in front of the dog.,false,true,0.886,,spatial,data/VSR/train2017/000000069745.jpg
vsr_dev_000030,VSR,The dog is at the left side of the motorcycle.,false,true,0.911,,spatial,data/VSR/train2017/000000253260.jpg
vsr_dev_000036,VSR,The laptop is at the left side of the dog.,false,true,0.889,,spatial,data/VSR/train2017/000000561411.jpg
vsr_dev_000037,VSR,The dog is below the bench.,false,true,0.909,,spatial,data/VSR/train2017/000000280858.jpg
vsr_dev_000039,VSR,The train is left of the bench.,false,true,0.926,,spatial,data/VSR/train2017/000000245450.jpg
vsr_dev_000042,VSR,The dog is far away from the horse.,false,true,0.812,,spatial,data/VSR/train2017/000000336568.jpg
vsr_dev_000044,VSR,The train contains the laptop.,false,true,0.770,,spatial,data/VSR/val2017/000000076547.jpg
vsr_dev_000046,VSR,The refrigerator is behind the dog.,false,true,0.868,,spatial,data/VSR/train2017/000000114504.jpg
vsr_dev_000047,VSR,The dog is in front of the motorcycle.,false,true,0.889,,spatial,data/VSR/train2017/000000465819.jpg
