sample_id,dataset,question,gold_answer,model_prediction,scalar_confidence,self_reported_confidence,failure_family,image_path
vizwiz_val_000001,VizWiz,Can you tell me what this medicine is please?,night time,unanswerable,0.872,0.0,none,data/VizWiz/Images/val/VizWiz_val_00000001.jpg
vizwiz_val_000004,VizWiz,What does the arrow say?,unanswerable,ok,0.795,,answerability,data/VizWiz/Images/val/VizWiz_val_00000004.jpg
vizwiz_val_000005,VizWiz,What the screen says? Thank you.,windows 7,unanswerable,0.904,,none,data/VizWiz/Images/val/VizWiz_val_00000005.jpg
vizwiz_val_000008,VizWiz,Is this shampoo or conditioner?,unanswerable,conditioner,0.802,0.0,answerability,data/VizWiz/Images/val/VizWiz_val_00000008.jpg
vizwiz_val_000009,VizWiz,Can you describe for me what's going on outside the window? Just curious.,nothing,unanswerable,0.891,,none,data/VizWiz/Images/val/VizWiz_val_00000009.jpg
vizwiz_val_000018,VizWiz,What is the computer doing?,loading,booting,0.772,,none,data/VizWiz/Images/val/VizWiz_val_00000018.jpg
vizwiz_val_000021,VizWiz,What is this color and pattern? There's some sort of pattern on my left chest there. Describe.,plain white uspa logo in gold,unanswerable,0.865,,none,data/VizWiz/Images/val/VizWiz_val_00000021.jpg
vizwiz_val_000023,VizWiz,Can you tell me what the error message is on the Windows screen?,starting windows,unanswerable,0.912,,none,data/VizWiz/Images/val/VizWiz_val_00000023.jpg
vizwiz_val_000024,VizWiz,"Sometimes it does this too.  It's great when it works, but when it doesn't, it's annoying.",doing disk check,unanswerable,0.973,,none,data/VizWiz/Images/val/VizWiz_val_00000024.jpg
vizwiz_val_000025,VizWiz,I was wondering how ominous the sky is looking here at the northwest.,fairly but could be worse,ominous,0.939,,none,data/VizWiz/Images/val/VizWiz_val_00000025.jpg
vizwiz_val_000026,VizWiz,Can you tell me what these are please?,tablets,pills,0.625,,none,data/VizWiz/Images/val/VizWiz_val_00000026.jpg
vizwiz_val_000029,VizWiz,What does it say?,quit,unanswerable,0.961,,none,data/VizWiz/Images/val/VizWiz_val_00000029.jpg
vizwiz_val_000031,VizWiz,Can anyone tell me what's actually on the screen of the laptop?,recovery screen some kind,unanswerable,0.879,,none,data/VizWiz/Images/val/VizWiz_val_00000031.jpg
vizwiz_val_000032,VizWiz,Can you tell me what this is a picture of?,computer screen,unanswerable,0.799,,none,data/VizWiz/Images/val/VizWiz_val_00000032.jpg
vizwiz_val_000034,VizWiz,How big do you think my TV is? Thank you.,32 inches,unanswerable,0.738,,none,data/VizWiz/Images/val/VizWiz_val_00000034.jpg
vizwiz_val_000037,VizWiz,"Hi, I just wanted to confirm that these are indeed pork chops. Any other information that is clear w",yes,unanswerable,0.863,,none,data/VizWiz/Images/val/VizWiz_val_00000037.jpg
vizwiz_val_000045,VizWiz,What is the expiration date on this bus pass?,jul 08 11,unanswerable,0.891,,none,data/VizWiz/Images/val/VizWiz_val_00000045.jpg
vizwiz_val_000047,VizWiz,what is this we taking a picture of?,boobs,unanswerable,0.740,,none,data/VizWiz/Images/val/VizWiz_val_00000047.jpg
vizwiz_val_000049,VizWiz,What kind of pop is this?,nestea,sunkist,0.690,0.0,none,data/VizWiz/Images/val/VizWiz_val_00000049.jpg
vizwiz_val_000052,VizWiz,Can you tell me if there is a model on here please? Thank you.,unanswerable,yes,0.704,,answerability,data/VizWiz/Images/val/VizWiz_val_00000052.jpg
vizwiz_val_000053,VizWiz,"Hello there, are you able to see what's on this LCD screen and if it's expecting any input from the ",yes,unanswerable,0.824,,none,data/VizWiz/Images/val/VizWiz_val_00000053.jpg
vizwiz_val_000055,VizWiz,Where do you think I could get a power cord?,forest hill maryland,hardware store,0.812,,none,data/VizWiz/Images/val/VizWiz_val_00000055.jpg
vizwiz_val_000060,VizWiz,Please tell me the them of this book,clive cussler dirk cussler,unanswerable,0.770,,none,data/VizWiz/Images/val/VizWiz_val_00000060.jpg
vizwiz_val_000061,VizWiz,What is this?,computer screen,unanswerable,0.784,,none,data/VizWiz/Images/val/VizWiz_val_00000061.jpg
vizwiz_val_000062,VizWiz,What website is this?,unanswerable,in-app purchase,0.793,,answerability,data/VizWiz/Images/val/VizWiz_val_00000062.jpg
vizwiz_val_000064,VizWiz,What is the person doing?,looking at computer,sitting,0.802,0.0,none,data/VizWiz/Images/val/VizWiz_val_00000064.jpg
vizwiz_val_000068,VizWiz,What does the screen say?,windows please,unanswerable,0.935,,none,data/VizWiz/Images/val/VizWiz_val_00000068.jpg
vizwiz_val_000069,VizWiz,Can you tell me what this bottle says?,warm vanilla sugar,unanswerable,0.821,,none,data/VizWiz/Images/val/VizWiz_val_00000069.jpg
vizwiz_val_000071,VizWiz,What is this item,unanswerable,knee pad,0.571,,answerability,data/VizWiz/Images/val/VizWiz_val_00000071.jpg
vizwiz_val_000072,VizWiz,what does the sky look like in this photograph,clear,blue,0.669,,none,data/VizWiz/Images/val/VizWiz_val_00000072.jpg
vizwiz_val_000077,VizWiz,What's on my computer screen?,pop up window,unanswerable,0.800,,none,data/VizWiz/Images/val/VizWiz_val_00000077.jpg
vizwiz_val_000078,VizWiz,"Can see what's on the screen, like is it a log in screen or anything like that? Thank you.",no,unanswerable,0.914,,none,data/VizWiz/Images/val/VizWiz_val_00000078.jpg
