sample_id,dataset,question,gold_answer,model_prediction,scalar_confidence,self_reported_confidence,failure_family,image_path
hallusionbench_00004,HallusionBench,"Is China, Hongkong SAR, the leading importing country of gold, silverware, and jewelry with the high",no,yes,0.934,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/0_1.png
hallusionbench_00007,HallusionBench,"Is the United States, the leading importing country of gold, silverware, and jewelry with the highes",no,yes,0.829,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/0_1.png
hallusionbench_00016,HallusionBench,"From 2001 to 2019, Is 2010 exported the most value of bread, biscuits, wafers, cakes and pastries fr",no,yes,0.842,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/1_1.png
hallusionbench_00022,HallusionBench,"From 2010 to 2019, Is 2010 exported the least value of bread, biscuits, wafers, cakes and pastries f",yes,no,0.910,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/1_1.png
hallusionbench_00032,HallusionBench,"From 2000-2050, is the population aged between 15 and 29 years in China the most in 2000?",no,yes,0.843,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/2_1.png
hallusionbench_00034,HallusionBench,"From 2000-2050, is the population aged between 15 and 29 years in China the most in 2030?",no,yes,0.812,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/2_1.png
hallusionbench_00035,HallusionBench,"From 2000-2050, is the population aged between 15 and 29 years in China the most in 2050?",no,yes,0.823,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/2_1.png
hallusionbench_00039,HallusionBench,"From 2000-2050, is the population aged between 15 and 29 years in China the least in 2050?",yes,no,0.852,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/2_1.png
hallusionbench_00044,HallusionBench,"According to the chart, does China have the largest population in the world, followed by India and t",no,yes,0.964,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/3_1.png
hallusionbench_00045,HallusionBench,"According to the chart, does India have the second largest population in the world?",no,yes,0.934,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/3_1.png
hallusionbench_00048,HallusionBench,"According to the chart, does China have the largest population in the world, followed by India and t",no,yes,0.981,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/3_2.png
hallusionbench_00049,HallusionBench,"According to the chart, does India have the second largest population in the world?",no,yes,0.855,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/3_2.png
hallusionbench_00056,HallusionBench,"According to the chart, is China the third largest country by land area in the world?",no,yes,0.845,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/4_1.png
hallusionbench_00060,HallusionBench,"According to the chart, is China the third largest country by land area in the world?",no,yes,0.855,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/4_2.png
hallusionbench_00062,HallusionBench,"According to the chart, is US the largest country by land area in the world?",no,yes,0.829,0.99,attribute,data/HallusionBench/hallusion_bench/VS/chart/4_2.png
hallusionbench_00072,HallusionBench,"According to the image, in 2019, did Asian families have the highest real median household income in",no,yes,0.840,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/5_2.png
hallusionbench_00073,HallusionBench,"According to the image, in 2019, did Black families have the highest real median household income in",yes,no,0.832,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/5_2.png
hallusionbench_00074,HallusionBench,"According to the image, in 2019, did Black and White households represent the only racial groups wit",yes,no,0.902,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/5_2.png
hallusionbench_00080,HallusionBench,"From 2012 to 2022, did Apple derive the majority of its revenue from the Americas?",yes,no,0.816,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/6_1.png
hallusionbench_00085,HallusionBench,"From 2012 to 2022, did Apple derive the majority of its revenue from Europe?",yes,no,0.954,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/6_2.png
hallusionbench_00092,HallusionBench,"In 2019, were the main policy interest rates of the U.S. Central Bank higher than those of the Centr",yes,no,0.871,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/7_1.png
hallusionbench_00097,HallusionBench,"In 2019, were the main policy interest rates of the Central Banks in the UK higher than those of the",yes,no,0.877,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/7_2.png
hallusionbench_00114,HallusionBench,"In 2020, did China have the largest GDP around the world, followed by the United States, and Japan, ",no,yes,0.850,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/9_1.png
hallusionbench_00115,HallusionBench,"In 2020, did Japan have the largest GDP around the world, followed by the United States, and China, ",no,yes,0.808,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/9_1.png
hallusionbench_00117,HallusionBench,"In 2020, did the United States have the largest GDP around the world, followed by China, and Japan, ",no,yes,0.885,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/9_2.png
hallusionbench_00118,HallusionBench,"In 2020, did China have the largest GDP around the world, followed by the United States, and Japan, ",no,yes,0.852,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/9_2.png
hallusionbench_00119,HallusionBench,"In 2020, did Japan have the largest GDP around the world, followed by the United States, and China, ",no,yes,0.825,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/9_2.png
hallusionbench_00120,HallusionBench,"In 2020, did India have the largest GDP around the world, followed by China and Japan, according to ",yes,no,0.797,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/9_2.png
hallusionbench_00125,HallusionBench,"According to the image, were white individuals the largest population group in the United States in ",yes,no,0.811,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/10_1.png
hallusionbench_00132,HallusionBench,"According to the image, were Asians the largest population group in the United States in 2020, with ",yes,no,0.894,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/10_2.png
hallusionbench_00136,HallusionBench,"According to the image, did China's exports to the United States experience a decrease from 2016 to ",no,yes,0.868,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/11_1.png
hallusionbench_00140,HallusionBench,"According to the image, in 2013, was the United States the largest recipient of exports from China i",no,yes,0.904,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/12_1.png
hallusionbench_00142,HallusionBench,"According to the image, in 2013, was Japn the largest recipient of exports from China in terms of US",no,yes,0.850,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/12_1.png
hallusionbench_00143,HallusionBench,"According to the image, in 2013, was the United States the largest recipient of exports from China i",no,yes,0.894,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/12_2.png
hallusionbench_00144,HallusionBench,"According to the image, in 2013, was Hong Kong the largest recipient of exports from China in terms ",no,yes,0.855,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/12_2.png
hallusionbench_00145,HallusionBench,"According to the image, in 2013, was Japn the largest recipient of exports from China in terms of US",no,yes,0.850,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/12_2.png
hallusionbench_00148,HallusionBench,"According to the image, between March 2020 and December 2021, did the United States experience the p",no,yes,0.806,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/13_1.png
hallusionbench_00151,HallusionBench,"According to the image, had the total number of coronavirus deaths in the United States reached 937,",yes,no,0.836,0.99,attribute,data/HallusionBench/hallusion_bench/VS/chart/13_2.png
hallusionbench_00156,HallusionBench,"According to the image, did the United States suffer the greatest number of total deaths in World Wa",no,yes,0.845,0.95,attribute,data/HallusionBench/hallusion_bench/VS/chart/14_1.png
hallusionbench_00157,HallusionBench,"According to the image, did United Kingdom experience the highest percentage of total deaths relativ",no,yes,0.855,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/14_1.png
hallusionbench_00158,HallusionBench,"According to the image, did the Soviet Union suffer the greatest number of total deaths in World War",no,yes,0.922,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/14_2.png
hallusionbench_00160,HallusionBench,"According to the image, did United Kingdom experience the highest percentage of total deaths relativ",no,yes,0.841,0.9,attribute,data/HallusionBench/hallusion_bench/VS/chart/14_2.png
