sample_id,dataset,question,gold_answer,model_prediction,scalar_confidence,self_reported_confidence,failure_family,image_path
vizwiz_val_000005,VizWiz,What the screen says? Thank you.,windows 7,windows home premium,0.936,0.95,none,data/VizWiz/Images/val/VizWiz_val_00000005.jpg
vizwiz_val_000009,VizWiz,Can you describe for me what's going on outside the window? Just curious.,nothing,unanswerable,0.844,0.9,none,data/VizWiz/Images/val/VizWiz_val_00000009.jpg
vizwiz_val_000015,VizWiz,"Which one of these items is the children's dictionary? Is it the one on the right, or the one on the",left,yes,0.981,0.95,none,data/VizWiz/Images/val/VizWiz_val_00000015.jpg
vizwiz_val_000016,VizWiz,What is this?,finger,unanswerable,0.988,0.95,none,data/VizWiz/Images/val/VizWiz_val_00000016.jpg
vizwiz_val_000018,VizWiz,What is the computer doing?,loading,booting up,0.850,0.85,none,data/VizWiz/Images/val/VizWiz_val_00000018.jpg
vizwiz_val_000019,VizWiz,What is the tag number?,unanswerable,pp41l,0.928,0.95,answerability,data/VizWiz/Images/val/VizWiz_val_00000019.jpg
vizwiz_val_000021,VizWiz,What is this color and pattern? There's some sort of pattern on my left chest there. Describe.,plain white uspa logo in gold,unanswerable,0.830,0.9,none,data/VizWiz/Images/val/VizWiz_val_00000021.jpg
vizwiz_val_000022,VizWiz,Can you tell what this is?,dropper bottle,unanswerable,0.810,0.7,none,data/VizWiz/Images/val/VizWiz_val_00000022.jpg
vizwiz_val_000025,VizWiz,I was wondering how ominous the sky is looking here at the northwest.,fairly but could be worse,very ominous,0.915,0.9,none,data/VizWiz/Images/val/VizWiz_val_00000025.jpg
vizwiz_val_000026,VizWiz,Can you tell me what these are please?,tablets,medication,0.823,0.9,none,data/VizWiz/Images/val/VizWiz_val_00000026.jpg
vizwiz_val_000028,VizWiz,Is this a woman?>,yes,unanswerable,0.998,0.95,none,data/VizWiz/Images/val/VizWiz_val_00000028.jpg
vizwiz_val_000029,VizWiz,What does it say?,quit,unanswerable,0.865,0.85,none,data/VizWiz/Images/val/VizWiz_val_00000029.jpg
vizwiz_val_000031,VizWiz,Can anyone tell me what's actually on the screen of the laptop?,recovery screen some kind,samsung recovery solution 4,0.882,0.95,none,data/VizWiz/Images/val/VizWiz_val_00000031.jpg
vizwiz_val_000034,VizWiz,How big do you think my TV is? Thank you.,32 inches,unanswerable,0.997,0.95,none,data/VizWiz/Images/val/VizWiz_val_00000034.jpg
vizwiz_val_000045,VizWiz,What is the expiration date on this bus pass?,jul 08 11,unanswerable,0.994,0.95,none,data/VizWiz/Images/val/VizWiz_val_00000045.jpg
vizwiz_val_000047,VizWiz,what is this we taking a picture of?,boobs,unanswerable,0.869,0.95,none,data/VizWiz/Images/val/VizWiz_val_00000047.jpg
vizwiz_val_000049,VizWiz,What kind of pop is this?,nestea,unanswerable,0.954,0.95,none,data/VizWiz/Images/val/VizWiz_val_00000049.jpg
vizwiz_val_000053,VizWiz,"Hello there, are you able to see what's on this LCD screen and if it's expecting any input from the ",yes,unanswerable,1.000,0.95,none,data/VizWiz/Images/val/VizWiz_val_00000053.jpg
vizwiz_val_000055,VizWiz,Where do you think I could get a power cord?,forest hill maryland,blazie engineering,0.948,0.85,none,data/VizWiz/Images/val/VizWiz_val_00000055.jpg
vizwiz_val_000059,VizWiz,What does the label say on this electronic component?,unanswerable,seagate,0.850,0.95,answerability,data/VizWiz/Images/val/VizWiz_val_00000059.jpg
vizwiz_val_000060,VizWiz,Please tell me the them of this book,clive cussler dirk cussler,unanswerable,0.883,0.9,none,data/VizWiz/Images/val/VizWiz_val_00000060.jpg
vizwiz_val_000061,VizWiz,What is this?,computer screen,email program,0.887,0.85,none,data/VizWiz/Images/val/VizWiz_val_00000061.jpg
vizwiz_val_000064,VizWiz,What is the person doing?,looking at computer,working,0.844,0.85,none,data/VizWiz/Images/val/VizWiz_val_00000064.jpg
vizwiz_val_000067,VizWiz,What's the website?,unanswerable,geeks on leash,0.993,0.9,answerability,data/VizWiz/Images/val/VizWiz_val_00000067.jpg
vizwiz_val_000068,VizWiz,What does the screen say?,windows please,unanswerable,0.985,0.95,none,data/VizWiz/Images/val/VizWiz_val_00000068.jpg
vizwiz_val_000072,VizWiz,what does the sky look like in this photograph,clear,blue with clouds,0.979,0.95,none,data/VizWiz/Images/val/VizWiz_val_00000072.jpg
vizwiz_val_000077,VizWiz,What's on my computer screen?,pop up window,unanswerable,0.998,0.95,none,data/VizWiz/Images/val/VizWiz_val_00000077.jpg
