sample_id,dataset,question,gold_answer,model_prediction,scalar_confidence,self_reported_confidence,failure_family,image_path
pope_random_21,POPE,Is there a potted plant in the image?,yes,no,0.985,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000211674.jpg
pope_random_35,POPE,Is there a bed in the image?,yes,no,0.999,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000283412.jpg
pope_random_43,POPE,Is there a tv in the image?,yes,no,0.998,1.0,object_hallucination,data/POPE/images/COCO_val2014_000000461331.jpg
pope_random_67,POPE,Is there a backpack in the image?,yes,no,0.945,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000353180.jpg
pope_random_96,POPE,Is there a tie in the image?,no,yes,0.994,1.0,object_hallucination,data/POPE/images/COCO_val2014_000000300368.jpg
pope_random_99,POPE,Is there a remote in the image?,yes,no,0.904,1.0,object_hallucination,data/POPE/images/COCO_val2014_000000482476.jpg
pope_random_101,POPE,Is there a handbag in the image?,yes,no,0.998,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000482476.jpg
pope_random_121,POPE,Is there a bowl in the image?,yes,no,1.000,1.0,object_hallucination,data/POPE/images/COCO_val2014_000000336872.jpg
pope_random_123,POPE,Is there a spoon in the image?,yes,no,0.999,1.0,object_hallucination,data/POPE/images/COCO_val2014_000000336872.jpg
pope_random_133,POPE,Is there a tv in the image?,yes,no,0.840,1.0,object_hallucination,data/POPE/images/COCO_val2014_000000516916.jpg
pope_random_141,POPE,Is there a toothbrush in the image?,yes,no,0.985,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000542145.jpg
pope_random_162,POPE,Is there a teddy bear in the image?,no,yes,0.824,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000033270.jpg
pope_random_171,POPE,Is there a truck in the image?,yes,no,0.995,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000421455.jpg
pope_random_177,POPE,Is there a toothbrush in the image?,yes,no,0.996,1.0,object_hallucination,data/POPE/images/COCO_val2014_000000288639.jpg
pope_random_197,POPE,Is there a dining table in the image?,yes,no,1.000,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000526321.jpg
pope_random_199,POPE,Is there a snowboard in the image?,yes,no,0.998,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000042190.jpg
pope_random_217,POPE,Is there a person in the image?,yes,no,0.999,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000498759.jpg
pope_random_229,POPE,Is there a tv in the image?,yes,no,1.000,1.0,object_hallucination,data/POPE/images/COCO_val2014_000000031773.jpg
pope_random_234,POPE,Is there a vase in the image?,no,yes,1.000,1.0,object_hallucination,data/POPE/images/COCO_val2014_000000031773.jpg
pope_random_241,POPE,Is there a car in the image?,yes,no,0.999,1.0,object_hallucination,data/POPE/images/COCO_val2014_000000574057.jpg
pope_random_247,POPE,Is there a traffic light in the image?,yes,no,0.998,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000456178.jpg
pope_random_259,POPE,Is there a car in the image?,yes,no,1.000,1.0,object_hallucination,data/POPE/images/COCO_val2014_000000485564.jpg
pope_random_302,POPE,Is there a bowl in the image?,no,yes,0.998,1.0,object_hallucination,data/POPE/images/COCO_val2014_000000515904.jpg
pope_random_321,POPE,Is there a dining table in the image?,yes,no,0.770,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000538236.jpg
pope_random_323,POPE,Is there a handbag in the image?,yes,no,0.999,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000538236.jpg
pope_random_341,POPE,Is there a book in the image?,yes,no,0.955,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000060213.jpg
pope_random_353,POPE,Is there a bicycle in the image?,yes,no,1.000,1.0,object_hallucination,data/POPE/images/COCO_val2014_000000084447.jpg
pope_random_357,POPE,Is there a dining table in the image?,yes,no,0.999,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000192660.jpg
pope_random_359,POPE,Is there a refrigerator in the image?,yes,no,0.991,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000192660.jpg
pope_random_365,POPE,Is there a broccoli in the image?,yes,no,0.998,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000575755.jpg
pope_random_371,POPE,Is there a dining table in the image?,yes,no,1.000,1.0,object_hallucination,data/POPE/images/COCO_val2014_000000354088.jpg
pope_random_377,POPE,Is there a handbag in the image?,yes,no,0.998,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000311327.jpg
pope_random_381,POPE,Is there a bench in the image?,yes,no,0.999,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000456552.jpg
pope_random_397,POPE,Is there a backpack in the image?,yes,no,0.999,1.0,object_hallucination,data/POPE/images/COCO_val2014_000000021645.jpg
pope_random_399,POPE,Is there a clock in the image?,yes,no,1.000,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000021645.jpg
pope_random_408,POPE,Is there a tennis racket in the image?,no,yes,0.961,1.0,object_hallucination,data/POPE/images/COCO_val2014_000000528905.jpg
pope_random_412,POPE,Is there a bench in the image?,no,yes,0.992,1.0,object_hallucination,data/POPE/images/COCO_val2014_000000239347.jpg
pope_random_413,POPE,Is there a tie in the image?,yes,no,0.707,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000239347.jpg
pope_random_416,POPE,Is there a chair in the image?,no,yes,0.997,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000007320.jpg
pope_random_424,POPE,Is there a book in the image?,no,yes,0.998,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000249715.jpg
pope_random_425,POPE,Is there a remote in the image?,yes,no,0.995,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000249715.jpg
pope_random_438,POPE,Is there a backpack in the image?,no,yes,1.000,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000564336.jpg
pope_random_455,POPE,Is there a sports ball in the image?,yes,no,0.999,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000083275.jpg
