sample_id,dataset,question,gold_answer,model_prediction,scalar_confidence,self_reported_confidence,failure_family,image_path
pope_random_5,POPE,Is there a skis in the image?,yes,no,0.997,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000310196.jpg
pope_random_17,POPE,Is there a car in the image?,yes,no,0.729,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000429109.jpg
pope_random_21,POPE,Is there a potted plant in the image?,yes,no,1.000,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000211674.jpg
pope_random_35,POPE,Is there a bed in the image?,yes,no,0.999,0.85,object_hallucination,data/POPE/images/COCO_val2014_000000283412.jpg
pope_random_39,POPE,Is there a spoon in the image?,yes,no,0.789,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000265719.jpg
pope_random_43,POPE,Is there a tv in the image?,yes,no,1.000,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000461331.jpg
pope_random_45,POPE,Is there a toaster in the image?,yes,no,0.914,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000461331.jpg
pope_random_65,POPE,Is there a bottle in the image?,yes,no,0.855,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000574692.jpg
pope_random_99,POPE,Is there a remote in the image?,yes,no,1.000,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000482476.jpg
pope_random_121,POPE,Is there a bowl in the image?,yes,no,1.000,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000336872.jpg
pope_random_123,POPE,Is there a spoon in the image?,yes,no,0.939,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000336872.jpg
pope_random_141,POPE,Is there a toothbrush in the image?,yes,no,0.993,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000542145.jpg
pope_random_149,POPE,Is there a car in the image?,yes,no,0.824,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000218224.jpg
pope_random_167,POPE,Is there a cow in the image?,yes,no,0.997,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000140583.jpg
pope_random_171,POPE,Is there a truck in the image?,yes,no,0.973,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000421455.jpg
pope_random_179,POPE,Is there a bottle in the image?,yes,no,0.990,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000288639.jpg
pope_random_195,POPE,Is there a remote in the image?,yes,no,0.961,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000526321.jpg
pope_random_197,POPE,Is there a dining table in the image?,yes,no,1.000,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000526321.jpg
pope_random_199,POPE,Is there a snowboard in the image?,yes,no,1.000,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000042190.jpg
pope_random_234,POPE,Is there a vase in the image?,no,yes,0.981,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000031773.jpg
pope_random_241,POPE,Is there a car in the image?,yes,no,0.999,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000574057.jpg
pope_random_243,POPE,Is there a train in the image?,yes,no,0.789,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000574057.jpg
pope_random_247,POPE,Is there a traffic light in the image?,yes,no,0.882,0.95,object_hallucination,data/POPE/images/COCO_val2014_000000456178.jpg
