sample_id,dataset,question,gold_answer,model_prediction,scalar_confidence,self_reported_confidence,failure_family,image_path
hallusionbench_00004,HallusionBench,"Is China, Hongkong SAR, the leading importing country of gold, silverware, and jewelry with the high",no,yes,0.945,,attribute,data/HallusionBench/hallusion_bench/VS/chart/0_1.png
hallusionbench_00007,HallusionBench,"Is the United States, the leading importing country of gold, silverware, and jewelry with the highes",no,yes,0.924,,attribute,data/HallusionBench/hallusion_bench/VS/chart/0_1.png
hallusionbench_00016,HallusionBench,"From 2001 to 2019, Is 2010 exported the most value of bread, biscuits, wafers, cakes and pastries fr",no,yes,0.944,,attribute,data/HallusionBench/hallusion_bench/VS/chart/1_1.png
hallusionbench_00019,HallusionBench,"From 2001 to 2010, Is 2005 exported the most value of bread, biscuits, wafers, cakes and pastries fr",no,yes,0.909,,attribute,data/HallusionBench/hallusion_bench/VS/chart/1_1.png
hallusionbench_00020,HallusionBench,"From 2000 to 2019, Is 2010 exported the least value of bread, biscuits, wafers, cakes and pastries f",no,yes,0.719,,attribute,data/HallusionBench/hallusion_bench/VS/chart/1_1.png
hallusionbench_00023,HallusionBench,"From 2010 to 2019, Is 2015 exported the least value of bread, biscuits, wafers, cakes and pastries f",no,yes,0.738,,attribute,data/HallusionBench/hallusion_bench/VS/chart/1_1.png
hallusionbench_00032,HallusionBench,"From 2000-2050, is the population aged between 15 and 29 years in China the most in 2000?",no,yes,0.936,,attribute,data/HallusionBench/hallusion_bench/VS/chart/2_1.png
hallusionbench_00034,HallusionBench,"From 2000-2050, is the population aged between 15 and 29 years in China the most in 2030?",no,yes,0.806,,attribute,data/HallusionBench/hallusion_bench/VS/chart/2_1.png
hallusionbench_00035,HallusionBench,"From 2000-2050, is the population aged between 15 and 29 years in China the most in 2050?",no,yes,0.823,,attribute,data/HallusionBench/hallusion_bench/VS/chart/2_1.png
hallusionbench_00036,HallusionBench,"From 2000-2050, is the population aged between 15 and 29 years in China the least in 2000?",no,yes,0.743,,attribute,data/HallusionBench/hallusion_bench/VS/chart/2_1.png
hallusionbench_00037,HallusionBench,"From 2000-2050, is the population aged between 15 and 29 years in China the least in 2005?",no,yes,0.801,,attribute,data/HallusionBench/hallusion_bench/VS/chart/2_1.png
hallusionbench_00038,HallusionBench,"From 2000-2050, is the population aged between 15 and 29 years in China the least in 2030?",no,yes,0.775,,attribute,data/HallusionBench/hallusion_bench/VS/chart/2_1.png
hallusionbench_00044,HallusionBench,"According to the chart, does China have the largest population in the world, followed by India and t",no,yes,0.946,,attribute,data/HallusionBench/hallusion_bench/VS/chart/3_1.png
hallusionbench_00045,HallusionBench,"According to the chart, does India have the second largest population in the world?",no,yes,0.945,,attribute,data/HallusionBench/hallusion_bench/VS/chart/3_1.png
hallusionbench_00048,HallusionBench,"According to the chart, does China have the largest population in the world, followed by India and t",no,yes,0.952,,attribute,data/HallusionBench/hallusion_bench/VS/chart/3_2.png
hallusionbench_00056,HallusionBench,"According to the chart, is China the third largest country by land area in the world?",no,yes,0.877,,attribute,data/HallusionBench/hallusion_bench/VS/chart/4_1.png
hallusionbench_00058,HallusionBench,"According to the chart, is US the largest country by land area in the world?",no,yes,0.717,,attribute,data/HallusionBench/hallusion_bench/VS/chart/4_1.png
hallusionbench_00060,HallusionBench,"According to the chart, is China the third largest country by land area in the world?",no,yes,0.898,,attribute,data/HallusionBench/hallusion_bench/VS/chart/4_2.png
hallusionbench_00062,HallusionBench,"According to the chart, is US the largest country by land area in the world?",no,yes,0.866,,attribute,data/HallusionBench/hallusion_bench/VS/chart/4_2.png
hallusionbench_00069,HallusionBench,"According to the image, in 2019, did Black families have the highest real median household income in",no,yes,0.944,,attribute,data/HallusionBench/hallusion_bench/VS/chart/5_1.png
hallusionbench_00070,HallusionBench,"According to the image, in 2019, did Black and White households represent the only racial groups wit",no,yes,0.918,,attribute,data/HallusionBench/hallusion_bench/VS/chart/5_1.png
hallusionbench_00071,HallusionBench,"According to the image, in 2019, did Hispanic and Asian households represent the only racial groups ",no,yes,0.946,,attribute,data/HallusionBench/hallusion_bench/VS/chart/5_1.png
hallusionbench_00072,HallusionBench,"According to the image, in 2019, did Asian families have the highest real median household income in",no,yes,0.945,,attribute,data/HallusionBench/hallusion_bench/VS/chart/5_2.png
hallusionbench_00075,HallusionBench,"According to the image, in 2019, did Hispanic and Asian households represent the only racial groups ",no,yes,0.946,,attribute,data/HallusionBench/hallusion_bench/VS/chart/5_2.png
hallusionbench_00081,HallusionBench,"From 2012 to 2022, did Apple derive the majority of its revenue from Europe?",no,yes,0.752,,attribute,data/HallusionBench/hallusion_bench/VS/chart/6_1.png
hallusionbench_00082,HallusionBench,"From 2012 to 2022, did Apple derive the majority of its revenue from Greater China?",no,yes,0.852,,attribute,data/HallusionBench/hallusion_bench/VS/chart/6_1.png
hallusionbench_00083,HallusionBench,"From 2012 to 2022, did Apple derive the majority of its revenue from Japan?",no,yes,0.779,,attribute,data/HallusionBench/hallusion_bench/VS/chart/6_1.png
hallusionbench_00084,HallusionBench,"From 2012 to 2022, did Apple derive the majority of its revenue from the Americas?",no,yes,0.807,,attribute,data/HallusionBench/hallusion_bench/VS/chart/6_2.png
hallusionbench_00086,HallusionBench,"From 2012 to 2022, did Apple derive the majority of its revenue from Greater China?",no,yes,0.831,,attribute,data/HallusionBench/hallusion_bench/VS/chart/6_2.png
hallusionbench_00087,HallusionBench,"From 2012 to 2022, did Apple derive the majority of its revenue from Japan?",no,yes,0.765,,attribute,data/HallusionBench/hallusion_bench/VS/chart/6_2.png
hallusionbench_00093,HallusionBench,"In 2019, were the main policy interest rates of the Central Banks in the UK higher than those of the",no,yes,0.821,,attribute,data/HallusionBench/hallusion_bench/VS/chart/7_1.png
hallusionbench_00094,HallusionBench,"In 2019, were the main policy interest rates of the Central Banks in the Eurozone higher than those ",no,yes,0.869,,attribute,data/HallusionBench/hallusion_bench/VS/chart/7_1.png
hallusionbench_00095,HallusionBench,"In 2019, were the main policy interest rates of the Japan Central Bank higher than those of the Cent",no,yes,0.841,,attribute,data/HallusionBench/hallusion_bench/VS/chart/7_1.png
hallusionbench_00096,HallusionBench,"In 2019, were the main policy interest rates of the U.S. Central Bank higher than those of the Centr",no,yes,0.870,,attribute,data/HallusionBench/hallusion_bench/VS/chart/7_2.png
hallusionbench_00098,HallusionBench,"In 2019, were the main policy interest rates of the Central Banks in the Eurozone higher than those ",no,yes,0.894,,attribute,data/HallusionBench/hallusion_bench/VS/chart/7_2.png
