sample_id,dataset,question,gold_answer,model_prediction,scalar_confidence,self_reported_confidence,failure_family,image_path
pope_random_23,POPE,Is there a car in the image?,yes,no,0.959,,object_hallucination,data/POPE/images/COCO_val2014_000000211674.jpg
pope_random_35,POPE,Is there a bed in the image?,yes,no,0.947,,object_hallucination,data/POPE/images/COCO_val2014_000000283412.jpg
pope_random_41,POPE,Is there a fork in the image?,yes,no,0.874,,object_hallucination,data/POPE/images/COCO_val2014_000000265719.jpg
pope_random_43,POPE,Is there a tv in the image?,yes,no,0.986,,object_hallucination,data/POPE/images/COCO_val2014_000000461331.jpg
pope_random_65,POPE,Is there a bottle in the image?,yes,no,0.747,,object_hallucination,data/POPE/images/COCO_val2014_000000574692.jpg
pope_random_91,POPE,Is there a knife in the image?,yes,no,0.918,,object_hallucination,data/POPE/images/COCO_val2014_000000300368.jpg
pope_random_99,POPE,Is there a remote in the image?,yes,no,0.901,,object_hallucination,data/POPE/images/COCO_val2014_000000482476.jpg
pope_random_121,POPE,Is there a bowl in the image?,yes,no,0.913,,object_hallucination,data/POPE/images/COCO_val2014_000000336872.jpg
pope_random_123,POPE,Is there a spoon in the image?,yes,no,0.818,,object_hallucination,data/POPE/images/COCO_val2014_000000336872.jpg
pope_random_133,POPE,Is there a tv in the image?,yes,no,0.940,,object_hallucination,data/POPE/images/COCO_val2014_000000516916.jpg
pope_random_141,POPE,Is there a toothbrush in the image?,yes,no,0.917,,object_hallucination,data/POPE/images/COCO_val2014_000000542145.jpg
pope_random_149,POPE,Is there a car in the image?,yes,no,0.846,,object_hallucination,data/POPE/images/COCO_val2014_000000218224.jpg
pope_random_179,POPE,Is there a bottle in the image?,yes,no,0.930,,object_hallucination,data/POPE/images/COCO_val2014_000000288639.jpg
pope_random_195,POPE,Is there a remote in the image?,yes,no,0.734,,object_hallucination,data/POPE/images/COCO_val2014_000000526321.jpg
pope_random_197,POPE,Is there a dining table in the image?,yes,no,0.915,,object_hallucination,data/POPE/images/COCO_val2014_000000526321.jpg
pope_random_217,POPE,Is there a person in the image?,yes,no,0.957,,object_hallucination,data/POPE/images/COCO_val2014_000000498759.jpg
pope_random_225,POPE,Is there a fork in the image?,yes,no,0.929,,object_hallucination,data/POPE/images/COCO_val2014_000000360600.jpg
pope_random_229,POPE,Is there a tv in the image?,yes,no,0.969,,object_hallucination,data/POPE/images/COCO_val2014_000000031773.jpg
pope_random_234,POPE,Is there a vase in the image?,no,yes,0.957,,object_hallucination,data/POPE/images/COCO_val2014_000000031773.jpg
pope_random_237,POPE,Is there a backpack in the image?,yes,no,0.805,,object_hallucination,data/POPE/images/COCO_val2014_000000500257.jpg
pope_random_241,POPE,Is there a car in the image?,yes,no,0.954,,object_hallucination,data/POPE/images/COCO_val2014_000000574057.jpg
pope_random_244,POPE,Is there a backpack in the image?,no,yes,0.936,,object_hallucination,data/POPE/images/COCO_val2014_000000574057.jpg
pope_random_247,POPE,Is there a traffic light in the image?,yes,no,0.887,,object_hallucination,data/POPE/images/COCO_val2014_000000456178.jpg
