sample_id,dataset,question,gold_answer,model_prediction,scalar_confidence,self_reported_confidence,failure_family,image_path
vsr_dev_000008,VSR,The motorcycle is ahead of the train.,true,false,0.966,1.0,spatial,data/VSR/train2017/000000052983.jpg
vsr_dev_000009,VSR,The bench is over the dog.,true,false,0.883,0.9,spatial,data/VSR/train2017/000000463593.jpg
vsr_dev_000010,VSR,The train is perpendicular to the motorcycle.,true,false,0.904,0.9,spatial,data/VSR/train2017/000000338407.jpg
vsr_dev_000014,VSR,The refrigerator is at the left side of the dog.,false,true,0.804,0.9,spatial,data/VSR/train2017/000000114504.jpg
vsr_dev_000016,VSR,The dog is on the motorcycle.,false,true,0.877,0.9,spatial,data/VSR/train2017/000000054744.jpg
vsr_dev_000017,VSR,The bench is touching the dog.,true,false,0.845,0.9,spatial,data/VSR/train2017/000000565951.jpg
vsr_dev_000018,VSR,The bench is in front of the train.,true,false,0.844,0.9,spatial,data/VSR/train2017/000000473642.jpg
vsr_dev_000025,VSR,The dog is in front of the chair.,false,true,0.827,0.9,spatial,data/VSR/train2017/000000458092.jpg
vsr_dev_000026,VSR,The laptop is on top of the handbag.,true,false,0.940,0.9,spatial,data/VSR/train2017/000000293837.jpg
vsr_dev_000028,VSR,The laptop is in front of the dog.,false,true,0.925,0.9,spatial,data/VSR/train2017/000000069745.jpg
vsr_dev_000030,VSR,The dog is at the left side of the motorcycle.,false,true,0.921,0.9,spatial,data/VSR/train2017/000000253260.jpg
vsr_dev_000031,VSR,The bench is under the dog.,true,false,0.806,1.0,spatial,data/VSR/train2017/000000496606.jpg
vsr_dev_000033,VSR,The dog is under the chair.,true,false,0.808,0.9,spatial,data/VSR/train2017/000000313520.jpg
vsr_dev_000035,VSR,The motorcycle is ahead of the train.,true,false,0.957,1.0,spatial,data/VSR/train2017/000000450182.jpg
vsr_dev_000036,VSR,The laptop is at the left side of the dog.,false,true,0.818,0.9,spatial,data/VSR/train2017/000000561411.jpg
vsr_dev_000039,VSR,The train is left of the bench.,false,true,0.898,1.0,spatial,data/VSR/train2017/000000245450.jpg
vsr_dev_000046,VSR,The refrigerator is behind the dog.,false,true,0.876,1.0,spatial,data/VSR/train2017/000000114504.jpg
vsr_dev_000049,VSR,The motorcycle is under the dog.,true,false,0.825,1.0,spatial,data/VSR/train2017/000000211449.jpg
vsr_dev_000057,VSR,The chair is behind the dog.,false,true,0.833,1.0,spatial,data/VSR/train2017/000000386715.jpg
vsr_dev_000059,VSR,The bench is touching the laptop.,true,false,0.794,0.9,spatial,data/VSR/train2017/000000257629.jpg
vsr_dev_000060,VSR,The train is perpendicular to the bench.,true,false,0.848,0.9,spatial,data/VSR/train2017/000000570588.jpg
vsr_dev_000065,VSR,The chair is under the dog.,false,true,0.810,0.9,spatial,data/VSR/train2017/000000395402.jpg
vsr_dev_000072,VSR,The dog is in front of the motorcycle.,false,true,0.862,1.0,spatial,data/VSR/train2017/000000253260.jpg
vsr_dev_000081,VSR,The dog is in front of the motorcycle.,false,true,0.833,1.0,spatial,data/VSR/train2017/000000211449.jpg
vsr_dev_000082,VSR,The laptop is in front of the dog.,false,true,0.887,0.9,spatial,data/VSR/train2017/000000464871.jpg
